Tipo,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020
Gasolina,24554,21040,26766,23948,25007,23218,23876,27034,20789,20689,18277,18717,16470,12085,12900,16832,15520,14782,16426,16033,15145,17795,16755,18366,17064,14891,13144,16010,15875,13864,14952,14656,15981,15899,14654,17851,12900,10123,12830,12424,11866,11681,11818,10903,10926,10421,8953,11305,7494,6631,8019,6105,6142,6182,6033,6423,7273,6719,6363,7111,4678,4337,5870,5083,5953,5801,5609,6746,6065,5812,5961,6987,5937,5346,6947,7138,7377,7471,7045,7640,5907,7356,6738,7033,5832,6053,5750,6311,6196,5946,5962,6481,6533,6378,5713,6698,4629,5383,4005,1292,2349,5389,5829,5882,6459,5909,,
Eletrico,9,16,7,3,13,23,5,3,2,2,18,16,45,22,53,50,12,29,65,45,23,39,52,56,93,61,65,53,94,52,61,79,71,53,87,86,72,56,61,73,72,74,74,100,82,55,65,62,58,64,60,137,41,91,48,59,79,93,159,202,178,157,227,176,208,238,268,627,384,243,240,350,272,254,367,367,302,382,262,262,286,405,374,437,370,287,336,290,357,716,960,867,1264,1989,2013,2409,1568,2053,1570,442,601,1334,1668,1943,2113,2273,,
Flex Fuel,211422,202970,243878,209603,233619,301201,309415,358307,240344,286885,261382,303848,262500,196783,238798,281017,266921,269444,287838,278169,260499,275871,253941,297333,265570,216144,201145,245955,243898,221487,247045,228445,249241,258428,248154,314996,217010,158500,198763,185852,180471,181203,194484,177859,169869,164256,170039,195714,132454,125415,151120,138772,143453,146579,155281,158124,134957,136193,153445,174955,127106,117500,164203,134570,169784,168394,157115,186474,173628,174369,175425,178653,154303,133063,176363,184670,169787,168803,181446,211318,179813,216671,196776,195160,167381,167760,175578,194518,206391,186549,202674,201829,194701,210454,202685,218130,158721,167375,135044,41142,44734,102259,138040,148276,168352,175742,,
Diesel,16687,11819,13138,11035,15660,16177,17932,20134,16550,19455,17404,21286,18174,13841,16838,19084,18490,18830,19968,18758,18750,20172,17799,20478,17378,15042,14774,18105,18542,15612,18133,16311,17591,17433,17265,21093,14285,10584,14682,13653,12825,11940,13322,11246,11970,10752,10493,13764,9828,10148,14190,12807,12712,13763,13661,13668,12757,12004,13779,16945,11805,10631,13888,12809,14445,15050,16046,16295,13729,16518,16021,19328,15345,13331,16716,18063,17825,18713,20321,20378,19127,20727,17920,22794,17626,16173,18310,20604,21655,20784,23265,22345,21516,22965,21179,24800,19764,18488,15685,8587,9021,13813,17887,17721,22421,21775,,
